Donor ID,Years of education
H20.33.045,17
H20.33.044,16
H21.33.045,12
H20.33.046,15
H20.33.014,12
H21.33.046,18
H21.33.047,16
H20.33.011,18
H19.33.004,14
H21.33.005,16
H21.33.001,18
H20.33.024,14
H21.33.007,14
H20.33.012,21
H20.33.025,15
H20.33.004,12
H20.33.017,19
H20.33.013,12
H20.33.015,12
H20.33.018,17
H20.33.008,12
H20.33.005,13
H20.33.026,16
H20.33.041,12
H20.33.027,17
H21.33.008,18
H20.33.019,16
H20.33.001,16
H20.33.002,15
H20.33.028,20
H21.33.006,18
H20.33.029,14
H20.33.030,13
H20.33.031,18
H20.33.020,20
H20.33.032,19
H20.33.033,18
H20.33.034,21
H20.33.035,21
H20.33.036,18
H20.33.037,16
H20.33.043,18
H20.33.016,16
H21.33.012,16
H21.33.011,21
H20.33.038,16
H21.33.010,16
H20.33.039,13
H21.33.009,17
H21.33.017,21
H21.33.016,21
H21.33.015,15
H20.33.040,12
H21.33.002,21
H21.33.003,16
H21.33.014,20
H21.33.013,15
H21.33.021,21
H21.33.020,14
H21.33.004,12
H21.33.022,12
H21.33.019,21
H21.33.018,16
H21.33.023,18
H21.33.025,16
H21.33.044,18
H21.33.026,17
H21.33.027,18
H21.33.028,16
H21.33.029,14
H21.33.030,16
H21.33.031,14
H21.33.032,14
H21.33.033,18
H21.33.034,15
H21.33.035,13
H21.33.036,17
H21.33.037,12
H21.33.038,15
H21.33.039,16
H21.33.040,15
H21.33.041,12
H21.33.042,17
H21.33.043,21
