17,1222,8152
16,2,5733
12,1561,8824
15,118,1119
12,100,448
18,88,3218
16,9,10146
18,411,13883
14,0,4669
16,348,5033
18,0,4326
14,42,2676
14,1123,5250
21,24,5662
15,284,3224
12,371,9093
19,937,20899
12,11,8440
12,50,8490
17,1581,16436
12,311,3087
13,1,4192
16,515,8326
12,166,3721
17,38,7037
18,67,2497
16,0,4788
16,42,7727
15,1,3522
20,369,6666
18,4,4696
14,9,4665
13,1129,2538
18,327,8403
20,598,7285
19,735,2812
18,95,2886
21,14,9950
21,0,5660
18,58,10111
16,1377,3735
18,14,13693
16,3,3275
16,8,5351
21,1,3674
16,77,1793
16,335,4627
13,38,2654
17,661,8838
21,71,3687
21,33,6383
15,54,4935
12,29,4261
21,1013,6094
16,0,8307
20,18,15256
15,787,12683
21,0,8871
14,244,716
12,0,5075
12,403,3820
21,7,6363
16,4,6736
18,4,9002
16,19,18014
18,199,17977
17,576,5861
18,186,6787
16,9,8678
14,1050,12257
16,2,101
14,2008,12461
14,17,7279
18,335,2306
15,810,345
13,743,7300
17,636,5334
12,13,19375
15,2,9266
16,706,5182
15,839,5887
12,175,6505
17,1723,5874
21,6,3622
